product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
"Batoane de musli cu ciocolată cu lapte, fără adaos de zaharuri","35,4 % Vollkorngetreideflocken (Weizenflocken, Haferflocken), Süßungsmittel: Maltitsirup; 8,4 % Weizen-Reis-Mais-Crispies mit Kakao (Weizenmehl, Reismehl, Mais, fettarmes Kakaopulver, Gerstenmalzmehl, Speisesalz), 8% Milchschokolade mit Süßungsmittel [Süßungsmittel: Maltit; Kakaomasse, Kakaobutter, Vollmilchpulver, Emulgator: Lecithine; natürliches Vanille-Aroma], 7,9 % Weizenvollkornmehl, Sonnenblumenöl, Erdnüsse geröstet gehackt, Feuchthaltemittel: Glycerin; 1,7 % Cornflakes (Mais, Speisesalz, Gerstenmalzextrakt), Speisesalz, natürliches Aroma, Emulgator: Lecithine. Kann Spuren von Soja, Schalenfrüchten und Sesamsamen enthalten.",,,,,"en:gluten,en:milk,en:peanuts,en:soybeans",,
Weetabix,"Vollkornweizen, Gerstenmalzextrakt, Zucker, Salz, Niacin, Eisensulfat, Vitamin b2, Vitamin b1, Folsäure",362.0,12.0,2.0,69.0,en:gluten,,
Chocapic 🍫 strong In Chocolaté 🍫,"Farine de BLÉ complet 32,8 %, sirop de glucose, sirop de sucre inverti, chocolat en poudre 10,6 % (sucre, cacao en poudre*), humectants : sirop de sorbitol, glycérol ; huile de tournesol, LAIT écrémé en poudre 5,3 %, matière grasse végétale de coco, extrait de malt d'ORGE (ORGE, ORGE malté), carbonate de calcium, maltodextrine, beurre de cacao*, semoule de maïs, sel, farine de riz, émulsifiant: lécithines; cacao maigre en poudre*, arôme naturel de vanille, antioxydant : extrait riche en tocophérols ; fer, vitamines B3, B5, B9, B6 et B2. Peut contenir des FRUITS À COQUE. *Bilan massique certifié Rainforest Alliance. www.ra.org/fr.",395.0,6.3,11.9,65.4,"en:gluten,en:milk",,
All-bran Golden Crunch,"Son de _blé_ (26 %), farine de riz, sucre, farine de _blé_, huile de tournesol, farine de maïs, sel, _lait_ écrémé en poudre, arôme, extrait de malt d'_orge_, émulsifiants (lécithine de tournesol, lécithine de _soja_), bicarbonate d'ammonium, bicarbonate de sodium, dextrose. Vitamines et minéraux: niacine, fer, vitamine B6, vitamine B2 (riboflavine), vitamine B1 (thiamine), acide folique, vitamine D, vitamine B12.",407.0,7.6,11.0,63.0,"en:gluten,en:milk,en:soybeans",,
So Simple Original Family Pack Porridge,quaker wholegrain rolled oats 100%,370.0,11.0,7.7,59.0,,,
Weetabix,"Y APPOUNTMENT TO MER MbrAET CEREALS MAMUFACTU WETARIX UMITED BURTON ATIMER FORMELLE DI FRUMENTO INTEGRALE CON VITAMINE E FERRO Energia 215g 12 FORMELLE : Frumento integrale (95%), estratto di orzo maltato, zucchero, sale, niacina (vitamina PP), ferro solfato, Riboflavina (vitamina B2), Tiammina (vitamina B1), acido folico. AVVERTENZE PER SOGGETTI ALLERGICI: Per gli allergeni vedere gi ingredient in grassetto. DICHIARAZIONE per NUTRIZIONALE 100g 1531 kJ 362 kcal per 1 Porzione = 2FORMELLE (37.5g) 574 kJ 136 kcal",362.0,12.0,2.0,69.0,en:gluten,,
Oak flakes,"Mălai 89,9%, zahar, extract de malț din Orz (gluten), sare iodată, premix de vitamine și fier (vitamina C, tiamina (Vitamina B1), riboflavina (vitamina B2), vitamina B6, vitamina B12, niacina (Vitamina B3), fier), antioxidant (ascorbil palmitat, extract de tocoferoli).",376.0,5.73,2.54,80.22,en:gluten,,
Tesco Super Smooth Porridge 750G,"Wholegrain Rolled Oats (60%), Wholegrain Oat Flour (38%), Calcium Carbonate, Niacin, Iron, Riboflavin (B2), Vitamin B6, Thiamin (B1), Folic Acid, Vitamin D, Vitamin B12.",373.0,12.0,8.7,57.6,,,
Apple & cinnamon porridge oat bar,"Wholegrain Scottish OATS (43%), butter (MILK), soft light brown sugar, golden syrup, chicory root fibre, sultanas, sunflower seeds, dried apple (4%), pumpkin seeds and cinnamon.",430.0,7.0,20.0,52.0,en:milk,,
cereale,N/A,397.0,8.5,6.2,73.5,,,
Céréales Cacao avec Quinoa,"Farine de riz bio 89%, farine de quinoa bio 9,5%, cacao en poudre bio 1,5%, thiamine (vitamine B1).",398.0,10.0,1.8,85.0,,,
Superfood breakfast boost,"Organic Hemp Seeds (25%), Organic Goldenberries (16%), Organic White Mulberries (16%), Organic Cacao Nibs (11.5%), Organic Goji berries (11%), Organic Chia Seeds (Salvia hispanica) (10%), Organic Chopped Mulberries Organic Dark Agave Syrup (2%), Organic Açai powder (0.5%), Organic Blueberry powder (0.5%)",441.0,16.0,25.0,32.0,,,
Fitness fruits,N/A,366.0,7.69999980926514,2.79999995231628,74.0999984741211,,,
Crunchy nut,"Maize, sugar, peanuts(6%), barley malt flavouring, molasses, honey(1%), salt. VITAMINS & MINERALS: Niacin, iron, vitamin B6, vitamin B2(riboflavin), vitamin B1(thiamin), folic acid, vitamin D, vitamin B12.",398.0,6.0,4.5,82.0,en:peanuts,,
Milled Organic flaxseed,100% organic flaxseed. ALLERGY ADVICE:,508.0,22.1,40.0,3.0,,,
All Bran Flakes,"Wheat (80%), _Wheat_ bran (20%), Sugar, Malted _barley_ extract, Salt, Niacin, Iron, Pantothenic acid (B5), Thiamin (B1), Riboflavin (B2), Vitamin B6, Folic acid, Vitamin B12.",359.0,12.0,2.5,64.0,,,
Multigrain misura,,446.0,9.3,15.0,65.0,,,
Dinosaurus a cucharadas cereales,"Cereales 61% (harina de _trigo_, harina de _centeno_, salvado de _trigo_, almidón de _trigo_), azúcar, aceite de girasol alto oleico 17%, chips de cereales 6.3% (arroz, azúcar, gluten de _trigo_, aceite de girasol, harina de _trigo_ malteada, sal), suero lácteo en polvo, jarabe de glucosa y fructosa, sal, gasificantes (carbonato de sodio, carbonato de amonio), aroma, antioxidantes (E304, E306), vitaminas (tiamina, riboflavina, niacina, ácido pantoténico, vitamina B6, ácido fólico, vitamina B12), sal, mineral (carbonato de calcio).",467.0,5.9,17.0,71.0,"en:gluten,en:milk",,
