product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Protein Cacahuetes🥜 & Chocolat🍫,"_cacahuètes_ grillées (39%), extrait de racine de chicorée, protéine de _soja_, morceaux de chocolat (8%) (sucre, pâte de cacao, émulsifiant: lécithine de _soja_), sucre, matière grasse végétale: palme, lactosérum (_lait_), huile de tournesol, fructose, sirop de glucose, beurre de _cacahuètes_ (2%), cacao maigre en poudre, amidon de tapioca, humectant: glycerol, sel, émulsifiants: lécithines de tournesol et de _soja_, aromes naturels, maltodextrine",502.0,25.7,30.1,25.5,"en:milk,en:peanuts,en:soybeans",,
Eat Natural Bar Salted Caramel&Peanut 45g,"Peanøtter 51%, glukosesirup, soyaproteincrisp 10% (soyaproteinisolat, tapiokastivelse, salt), daddler 9%, honning, mandler 6%, salt karamell 3% (muscovadosukker, fløtemelkpulver, naturlige aromaer, fløtepulver (melk), rismel, carobpulver, salt)",496.0,26.0,28.4,31.3,en:milk,,
Trek Protein caramel salé,"NL PROTEÏNE HAVERMOUT REPEN MET KARAMELSMAAK EN ZEEZOUT INGREDIENTEN: Glutenvrije haver (26%), Rijstsiroop, Soja-eiwitcrunchies (soja-eiwit, tapiocazetmeel, zout) (16%), Coating met gezouten karamelsmaak (plantaardige oliën (palmpit* , paim&quot;), suiker, rijstpoeder (gedroogde rijststroop, rijstzetmeel, rijstmeel), rijstmeel, cacaopoeder, zeezout, natuurlijk aroma, emulgator (zonnebloemlecithine), kleurstof (paprika-extract)) (13%), Plantaardige olien (palm*, zonnebloem, koolzaad), Kandijsuiker, Sojabloem, Zout, Natuurlijke aroma's. &quot;Draagt bij aan de productie van gecertificeerde duurzame palmolie.",446.0,18.5,20.4,45.8,,,
Protein bar,"Protein blend (whey protein concentrate, milk protein) (32,5%), cocoapowde ralto-oligosaccharide syrup, almond flour (9.1%), almonds (5.3%), humetant (glycerine), fructo-oligosaccharide syrup, filler (polydextrose), natural flavour, acidity regulator (sodium hydie onate), acidifier (citric acid), sweetener (steviol glycosides). Kann Spuren von Gluten, Hühnerei-Eiweiß und Soja enthalten. /May contain traces of gluten egg ad soy. F Hinweis: Kann bei übermäßigem Verzehr abführend wirken. / Note: Excessive consumption may produce laxative effects. mit.echtem Kakan und Mandals SA otein bhar with reel cocoa and almonde nh swe",345.0,33.0,11.0,28.0,"en:milk,en:nuts",,
Birthday Cake Protein Oats,N/A,364.0,28.6,7.79,51.9,,,
Oat bar,"Овесени ядки (глутен) (33%), Топинг с вкус на черен шоколад (17%) [Захар, Палмово масло, Какао на прах с намалени мазнини, Емулгатори (Соев ле н захарен сироп, Растителни мазнини (Палмово масло, Рапично масло), Шоколадови капки (8%) (Какаова маса, Захар, Какаово масло, Какао на прах с намалени мазнини, Емулгато Бяло и Тъмно Шоколадово фиде (1,4%) (Закар, Какаово масло, Пълномаслено мляко на прах, Обезмаслено мляко на прах, Какаова маса, натурален ванилов ароматизант). Пре MSAK. EN: OAT BAR WITH TRIPLE CHOCOLATE FLAVOR. INGREDIENTS: Oats (gluten) (33%), Dark chocolate flavored topping (17%) [Sugar, Palm oil, Fat-reduced cocoa powder, Emulsifiers up, Vegetable oils (Palm oil, Rapeseed oil), Chocolate chips (8%) (Cocoa mass, Sugar, Cocoa butter, Fat-reduced cocoa powder, Emulsifier. Soy lecithin) Sugar, Soya flour, humectant: vegetable gl ilk Powder, Skimmed Milk Powder, Cocoa Mass, Natural Vanilla flavoring). Allergen Warning: May contain gluten, peanuts, and other nuts. GR: MNAPA BPOMHI ME TEYZH TPINAHE τη μαύρης σοκολάτας (17%) [ζάχαρη, φοινικέλαιο, κακάο σκόνη με χαμηλά λιπαρά, γαλακτωματοποιητές (λεκιθίνη σόγιας και πολυρικινελαϊκή πολυγλυκερόλη), αρωματική ύλη), μερικώς ιμβ οκολάτας (896) (πάστα κακάού, ζάχαρη, βούτυρο κακάο, κακάο σκόνη με χαμηλὰ λιπαρά, γαλακτωματοποιητής. λεκιθίνη σόγιας) ζάχαρη, αλεύρι σόγιας, υγραντήρας φυτική γλυκερίνη, ven ή σε σκόνη, γάλα σε σκόνη αποβουτυρωμένο, πάστα κακάου, φυσικό άρωμα βανίλιας). Προειδοποίηση αλλεργιογόνων: Πιθανά να περιέχει γλουτένη, ίχνη από φιστίκια και άλλους ξηρο Fulgi de ovăz (gluten) (33%), topping cu gust de ciocolată neagră (1796) (zahăr, ulei de palmier, pudră de cacao cu conţinut scăzut de grasimi, emulsificatori (lecitina de sola, poliricinoleat d ler, ulei de rapija), picaturi din ciocolată (8%) (masă de cacao, zahăr, unt de cacao, pudră de cacao cu conţinut scăzut de grăsimi, emulsificator: lecitină de soia) zahár, faina de soia, umidificat lapte praf integral, lapte praf degresat, masa de cacao, aroma naturala de vanilie). Avertizări alergeni: Poate contine gluten, arahide si alte nud. SR: OVSENA PLOČICA SA UKUSOM TR čokolade (1796), (šećer, palmino ulje, kakao prah sa niskim sadržajem masti, emulgatori (sojin lecitin i poliglicerol poliricinoleat), aroma] delimično invertni šećerni sirup, biljna ulja (palmino u a niskim sadržajem mast), emulgator (sojin lecitin), seler, sojino brašno, ovlažnivač biljni glicerin, vermičeli od bele i tamne čokolade (1.4%) (šećer, kakao puter, punomasno mleko u prahu, c ima: Malo do radrati glasten, kikiriki druge orase Proizvedeno u Velikoj Britaniji /usreno iz Quoanke Uvoznik World Best Brands d.o.o. Vojvođanska 361a Surčin 11271 Beograd, وف کاکار شد الصويا سكر مدير الشريد مات في السويد بول علي الشوكولاته الطبيعية ناية بالشكولاته البيضاء والداكة (14) (سكر، زبدة الك نكية الفانيليا الطبيعية). تحذير الحساسية، قد يحتوي على الفلولين والفول السودال ومكات اخ حقائق تغذوية عدد الحصص ا، حجم الحصل 100 ع، الكمية لكل حصة (لا للقيمة اليومية ) 161 کیلو 1 کولیسترول 0 مع (70)، صوديوم 60 مع (3%)، الكربوهيدرات الكلية 54 ع (20%) الألياف الغذالية 4.9 (218)، السكريات الكلية 34 ع (وتضمن 30 ع سكر مضاف، 260). بروتير 61 غ (12%) لا يعبر هذا المتج مساهمة المغذيات في الحصة الواحدة في النظام الغذائي اليومي، يعتمد 2000 كيلو كالوري في اليوم لارشادات التغذية العامة 0.069 وفان (خلوتين) (33). نكهة الشوكولاتة الداكة الطرد (۱۶) لـ COURIOU وة على حصة واحدة / .LANOBIA CDMbpKa enHa nopuan. / This pack contains one serving. / Aoro To TakeTO TEpikya Eva Trina / Acest pachet antine o porjle. / Ovaj paket sadri jednu poroju",374.0,50.0,11.0,29.0,en:gluten,,
Barre Light Chocolat Sésame,"Protéines végétales (soja, pois), chocolat noir édulcoré sans sucre 20% (cacao, édulcorant maltitol, beurre de cacao, lécithine de soja, arôme naturel de vanille) (UE), fibres végétales (fructo-oligosaccharides, polydextrose), sirop d'agave, huile de colza, farine de pois chiche, maltodextrine, stabilisant: glycérine, édulcorants: maltitol et sucralose, graines de sésame toastées 2,6% (non UE), vitamines et minéraux (phosphate de potassium et de calcium, carbonate de magnésium et de potassium, citrate de magnésium, gluconate de fer, de zinc, de manganèse, de cuivre, iodure de potassium, levure séléniée, picolinate de chrome), arômes et arôme naturel, glucomannane de konjac 1,45%, vitamines (A, B1, B2, B3, B5, B6, B8, B9, B12, C, D, E, K), correcteur d'acidité: acide citrique, conservateur: sorbate de potassium, anti-oxydant: extrait de romarin et tocopherols de soja.",358.0,20.0,16.0,34.0,,,
Toffee Crunchy Protein Bar,"valeurs moyennes/ alige verdier/typiske ergie / energi כן nt: acide er/hvora kan ha laxe jenhy erk starch, salt), dark chocolate flavour coating (26%) (sweeteners: is arides, polydextrose, milk proteins (whey protein isolate, whey prote flavourings [milk), fat-reduced cocoa powder, sweetener (sucralose). an en, egg, nuts and peanuts. fr ingrédients: croustillants de proteine (31 %) (is uile de palme et de palmiste, cacao maigre en poudre, émulsifiants: lécithine de soja, ré de protéine de lactoserum, concentré de protéine de lait, émulsifiant: lécithine de s (sucralose), antioxydant (extrait riche en tocophérols). pour les allergenes voir ingred ides. de zutaten: proteincrispies (31 %) (sojaproteinisolat, stärke, salz), überzug mit zart nöl, fettarmes kakaopulver, emulgatoren: sojalecithin, e476). fructooligosaccharide konzentrat, emulgator: sojalecithin), isomalto-oligosaccharide, feuchthaltemittel (glycerin), are copherolhaltiger extrakt), für allergene siehe zutaten in fettgedruckter grobschrift. kar flingor (3100 soja soyaproteinisolat, stivelse stärkelse, salt), overtre et icomaltsverelose sukralost palusog palmekspresie",413.0,29.1,13.1,43.6,,,
"Protein bar, dark chocolate flavour",N/A,398.0,34.2,17.2,28.3,,,
Snickers Hi Ptotein,"Protein Blend (20% ) (Milk Protein Isolate, Milk Protein, Whey concentrate (Milk), Emulsifier (Soya Lecithin), Milk Chocolate (15%) (Sugar. Cocoa Butter. Skimmed Milk Powder, Cocoa Mass, Lactose and Protein from Whey (Milk at. Whey Powder (Milk), Milk Fat. Emulsifiers (Soya Lecithin, E476), Natural Vanilla Extract), Hydrolysed Collagen (149 %), Caramel (12 %) (Sweetened Condensed S ilk. Glucose Syrup, Invert Sugar Syrup, Palm Oil, Butter (Milk). Sugar, Emulsifier (E471), Stabiliser (Pectin), Salt. Natural Flavouring), Humectant (Maltitol), Peans ant (Glycerol), Peanut Flour. Fructo-Oligosaccharide, Natural Flavouring (Peanut), Salt. Colour (Plain Caramel), Antioxidant (Natural Mixed Tocopherols). May zeinut, Pecan Nuts, Gluten, Egg. Not suitable for vegetarians.",387.0,36.4,13.1,36.4,"en:eggs,en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans",,
