product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Leche desatada + Proteinas,"Leite magro, concentrado de proteinas e cálcio do leite, enzima (lactase), estabilizador (fosfato dissódico) e vitamina D.",44.0,6.0,0.2,4.6,en:milk,,
Huel Ready-To-Drink - Chocolate,"Water, Pea Protein, Tapioca Starch, Gluten-Free Oat Flour, Rapeseed Oil, Cocoa Powder (1.5%), Ground Flaxseed, Soluble Vegetable Fibre (Chicory, Corn), Medium-Chain Triglyceride Powder (from Coconut), Micronutrient Blend (Minerals (Potassium (as Potassium Citrate), Chloride (as Potassium Chloride), Calcium (as Calcium Carbonate), Magnesium (as Magnesium Citrate), Phosphorus (as Magnesium Phosphate), Copper (as Copper Gluconate), Zinc (as Zinc Oxide), Iodine (as Potassium Iodide), Chromium (as Chromium Picolinate)), Vitamins (Vitamin C (as L-Ascorbic Acid), Vitamin K (K2, as Menaquinone-7), Vitamin E (as D-Alpha Tocopherol Acetate), Vitamin A (as Retinyl Acetate), Niacin (as Niacinamide), Vitamin D (D2, as Ergocalciferol), Vitamin B12 (as Cyanocobalamin), Pantothenic Acid (as Calcium-D-Pantothenate), Biotin (as D-Biotin), Vitamin B6 (as Pyridoxine Hydrochloride), Vitamin B2 (as Riboflavin), Vitamin B1 (as Thiamine Mononitrate), Folate (as Calcium-L Methylfolate)), Choline), Natural Flavourings, Brown Rice Flour, Coconut Sugar, Emulsifier: Sunflower Lecithin, Thickener: Gellan Gum, Sea Salt, Sweetener: Sucralose.",80.0,4.0,3.8,6.5,,,
High protein 90,"Milk proteins (caseinates), wheat oteins, soy proteins isolate (emulsifier : soy lecithins), demited cocoa powder, flavouring (colour: E150c), magnesium carbonate, emulsifier: sunflower lecithins, sweeteners (aspartame, acesulfame K), vitamins (C, E, niacin (PP), 5, riboflavin (B2), thiamin (B1)). Contains a source of phenylalanine. Allergens information: www.isostar.com. R-B&gt; Poudre pour préparation de boisson riche en protéines, source de vitamines C, E, B1, B2, B6, PP et de minéraux calcium et magnésium. Avec édulcorants. La boisson High Protein 90 vous apporte es protéines qui contribuent à maintenir et augmenter la masse musculaire, des vitamines B6, B2, C & PP ainsi que du magnésium qui contribuent à réduire la fatigue, du calcium qui contribue à une fonction musculaire normale. Formulation riche en protéines à haute valeur biologique (indice chimique &gt;100, selon le rapport OMS, 1985-Série de rapports techniques, 724). Ingrédients: Protéines de lait (caseinates), protéines de blé, isolat de protéines de soja (émulsifiant : lécithines de soja), cacao maigre en poudre, arôme (colorant : E150C), carbonate de magnésium, émulsifiant : lécithines de tournesol, édulcorants (aspartame, acésulfame-K), vitamines (C, E, niacine (PP), B6, riboflavine (B2), thiamine (B1)). Contient une source de phénylalanine. Informations allergènes: www.isostar.com. SP&gt; Preparado en polvo para bebida rica en proteinas, fuente de vitaminas C, E, B1, B2, B6, Niacina (PP) y de minerales calcio y magnesio. Con edulcorantes. La bebida High Protein 90 proporciona",,,,,,,
Formula 1 Mirtillo,,390.0,35.0,10.0,32.0,"en:milk,en:soybeans",,
Premier protein,"water, milk protein concentrate&quot;, calcium caseinate&quot;, contains less than 1% of high oleic sunflower oil, natural and artificial flavors, inulin, cellulose gel and cellulose gum, salt, sucralose, acesulfame potassium, carrageenan, tripotassium phosphate, dipotassium phosphate, sodium hexametaphosphate, vítamin and mineral blend (dl-alpha-tocopheryl acetate [vitamin e), zinc glycinate chelate, ferric orthophosphate, vitamin a palmitate, niacinamide, phytonadione [vitamin k1], potassium iodide, cholecalciferol (vitamin d3], copper gluconate, calcium d-pantothenate, manganese sulfate, sodium selenite, biotin, sodium molybdate, folic acid, thiamine mononitrate [vitamin b1), cyanocobalamin [vitamin b12], pyridoxine hydrochloride [vitamin b6), riboflavin [(vitamin b2], chromium polynicotinate), magnesium phosphate, sodium ascorbate, contains milk, &quot;source of protein ud gluten free",49.2,9.22,0.922,0.922,en:milk,,
Core Power Strawberry Banana Protein Milkshake,"filtered low fat grade a milk, strawberry puree, banana puree, contains less than 1% of: natural flavors, monk fruit juice concentrate, stevia leaf extract, carrageenan, cellulose gel, cellulose gum, acesulfame potassium, sucralose, lactase enzyme, vitamin a palmitate, vitamin d3",41.1,6.28,1.09,1.69,,,
Vanille milkshake,N M 1778,58.0,7.3,1.4,3.8,,,
Protein pulver Lowcarb,"pro-100-ml verzehrfertige to ereitun?i , (30,0 z), sojaprctein - —viturtpu}to see the s - saccharose, ernâhrung",380.0,80.2,3.1,6.4,,,
High Protein Drink Choco,"Magermilch (CH) (laktosefrei), Milchproteine (laktosefrei), Kakaopulver 1,5%, Verdickungsmittel: Carrageen, Süs - sungsmittel: E955.",55.0,7.6,0.5,5.1,,,
Chocolate Flavour High Protein Milkshake,"Milk Protein Concentrate, Skimmed Milk, Water, Skimmed Milk Powder, Fat-Reduced Cocoa Powder (1.4%), Vitamin & Mineral Blend (Vitamin C, Vitamin E, Selenium, Vitamin D2). Stabilisers: Gellan Gum, Carrageenan; Natural Flavouring, Salt, Sweetener: Sucralose; Acidity Regulator: Sodium Citrate.",59.0,10.0,0.3,3.6,,,
